ID	PATH
SRR7217023	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR007/217/SRR7217023.sralite.1
SRR7217025	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR007/217/SRR7217025.sralite.1
SRR7217034	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR007/217/SRR7217034.sralite.1
SRR7217036	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR007/217/SRR7217036.sralite.1
SRR7217037	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR007/217/SRR7217037.sralite.1
SRR7217040	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR007/217/SRR7217040.sralite.1
SRR7217041	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR007/217/SRR7217041.sralite.1
SRR7217047	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR007/217/SRR7217047.sralite.1
SRR7217048	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR007/217/SRR7217048.sralite.1
SRR7217049	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR007/217/SRR7217049.sralite.1
SRR7217050	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR007/217/SRR7217050.sralite.1
SRR7217051	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR007/217/SRR7217051.sralite.1
SRR7217052	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR007/217/SRR7217052.sralite.1
SRR7217056	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR007/217/SRR7217056.sralite.1
